-66,-70,-70,210.0,4.0,180.0
-66,-76,-69,210.0,4.5,180.0
-72,0,-81,180,0.5,0.0
-72,-57,-75,180,1.0,0.0
-79,-58,-88,180,1.5,0.0
-80,-63,-72,180,2.0,0.0
-77,-67,-75,180,2.5,0.0
-79,-62,-73,180,3.0,0.0
-92,-65,-73,180,3.5,0.0
-84,-74,-82,180,4.0,0.0
-81,-63,-82,180,4.5,0.0
-77,-60,-76,180,5.0,0.0
-77,-76,-74,180,5.5,0.0
-81,-63,-86,180,6.0,0.0
-81,-66,-70,180,6.5,0.0
-83,-74,-70,180,7.0,0.0
-84,-77,-68,180,7.5,0.0
-77,-74,-66,180,8.0,0.0
-77,-70,-76,180,8.5,0.0
-79,-66,-72,180,9.0,0.0
-80,-71,-78,180,9.5,0.0
-91,-88,-72,180,10.0,0.0
-70,-66,-81,180,0.5,180.0
-62,-64,-80,180,1.0,180.0
0,-55,0,180,1.5,180.0
-65,-75,-69,180,2.0,180.0
-73,-66,-72,180,2.5,180.0
0,-60,-71,180,3.0,180.0
-69,-70,-72,180,3.5,180.0
-71,-74,-67,180,4.5,180.0
-73,-67,-78,180,5.0,180.0
-71,-70,-67,180,5.5,180.0
-71,-70,-70,180,6.0,180.0
-80,-73,-72,180,6.5,180.0
-84,-86,-72,180,7.0,180.0
-92,-82,-83,180,7.5,180.0
-86,-78,-68,180,8.0,180.0
-95,-83,-72,180,8.5,180.0
-89,-72,-71,180,9.0,180.0
-96,-78,-80,180,9.5,180.0
-87,-80,-70,180,10.0,180.0
-80,-61,-69,120.0,0.5,0.0
-70,-74,-70,120.0,1.0,0.0
-80,-75,-80,120.0,1.5,0.0
-78,-68,-75,120.0,2.0,0.0
-76,-72,-71,120.0,2.5,0.0
-81,-68,-68,120.0,3.0,0.0
-78,-62,-69,120.0,3.5,0.0
-72,-63,-70,120.0,4.0,0.0
0,-66,-64,120.0,4.5,0.0
-74,0,-63,120.0,5.0,0.0
-78,-66,-62,120.0,5.5,0.0
-79,-66,-59,120.0,6.0,0.0
-80,-72,-61,120.0,6.5,0.0
-83,0,-59,120.0,7.0,0.0
-87,-72,-61,120.0,7.5,0.0
-92,-74,-61,120.0,8.0,0.0
-80,-75,-60,120.0,8.5,0.0
-68,-67,-76,120.0,.5,180.0
-64,-58,-74,120.0,1.0,180.0
-76,-59,-76,120.0,1.5,180.0
-68,-63,-70,120.0,2.0,180.0
-76,-63,-70,120.0,2.5,180.0
-70,-66,-67,120.0,3.0,180.0
-74,-75,-67,120.0,3.5,180.0
-65,-75,-63,120.0,4.0,180.0
-68,-79,-70,120.0,4.5,180.0
-75,-68,-70,120.0,5.0,180.0
-78,-72,-72,120.0,5.5,180.0
-77,-67,-60,120.0,6.0,180.0
-83,-63,-64,120.0,6.5,180.0
-84,-69,-62,120.0,7.0,180.0
-81,-79,-70,120.0,7.5,180.0
-81,-66,-70,120.0,8.0,180.0
-73,-74,-78,60.0,0.5,0.0
-61,-69,-69,60.0,1.0,0.0
-77,-76,-73,60.0,1.5,0.0
-79,-72,-78,60.0,2.0,0.0
-72,-74,-76,60.0,0.5,180.0
-66,-70,-75,60.0,1.0,180.0
-65,-75,-77,60.0,1.5,180.0
-65,-73,-81,60.0,2.0,180.0
-77,-61,-80,150.0,0.5,0.0
-83,-67,-84,150.0,1.0,0.0
-78,-70,-71,150.0,2.0,0.0
-77,-74,-68,150.0,2.5,0.0
-90,-76,-71,150.0,3.0,0.0
-75,-78,-66,150.0,3.5,0.0
-95,-73,-67,150.0,4.0,0.0
-81,-76,-75,150.0,4.5,0.0
-81,-76,-68,150.0,5.0,0.0
-83,-90,-73,150.0,5.5,0.0
-93,-74,-68,150.0,6.0,0.0
-67,-57,-78,150.0,0.5,180.0
-68,-58,-73,150.0,1.0,180.0
-75,-62,-74,150.0,1.5,180.0
-80,-67,-71,150.0,2.5,180.0
-73,-68,-76,150.0,3.0,180.0
-73,-70,-76,150.0,3.5,180.0
-89,-73,-68,150.0,4.0,180.0
-78,-74,-69,150.0,4.5,180.0
-72,-70,-67,150.0,5.0,180.0
-75,-75,-65,150.0,5.5,180.0
-82,-74,-63,150.0,6.0,180.0
-82,-65,0,180.0,.5,0
-80,-72,-84,180.0,1.0,0
-82,-67,-82,180.0,1.5,0
-85,-65,-73,180.0,2.0,0
-89,-66,-76,180.0,2.5,0
0,-66,-72,180.0,3.0,0
-90,-69,-70,180.0,3.5,0
-82,-67,-83,180.0,4.0,0
-87,-62,-87,180.0,4.5,0
-84,-63,-79,180.0,5.0,0
-82,-80,-77,180.0,5.5,0
-81,-67,-78,180.0,6.0,0
-87,-73,-75,180.0,6.5,0
0,-70,-66,180.0,7.0,0
-83,-71,-67,180.0,7.5,0
-88,-66,-68,180.0,8.0,0
-80,-72,-70,180.0,8.5,0
-79,-72,-73,180.0,9.0,0
-77,-76,-71,180.0,9.5,0
-83,-72,-72,180.0,10.0,0
-78,-70,-90,180.0,.5,180.0
-73,-66,-78,180.0,1.0,180.0
-77,-72,-67,180.0,1.5,180.0
-87,-64,-70,180.0,2.0,180.0
-93,-70,-71,180.0,2.5,180.0
-78,-68,-74,180.0,3.0,180.0
-74,-66,-75,180.0,3.5,180.0
-82,-74,-66,180.0,4.0,180.0
-81,-76,-71,180.0,4.5,180.0
-75,-68,-70,180.0,5.0,180.0
-75,-69,-68,180.0,5.5,180.0
-84,-60,-78,180.0,6.0,180.0
-89,-70,-71,180.0,6.5,180.0
-82,-73,-77,180.0,7.0,180.0
-84,-75,-76,180.0,7.5,180.0
-88,-78,-84,180.0,8.0,180.0
-86,-79,-82,180.0,8.5,180.0
-88,-75,-80,180.0,9.0,180.0
-91,-75,-77,180.0,9.5,180.0
-84,-82,-76,180.0,10.0,180.0
-81,-71,-82,210.0,0.5,0.0
-77,-62,-72,210.0,1.0,0.0
-84,-66,-85,210.0,1.5,0.0
-86,-81,-71,210.0,2.0,0.0
-81,-67,-76,210.0,2.5,0.0
-85,-70,-70,210.0,3.0,0.0
-85,-74,-75,210.0,3.5,0.0
-92,-69,-72,210.0,4.0,0.0
-87,-70,-80,210.0,4.5,0.0
-75,-67,-84,210.0,.5,180.0
-70,-69,-72,210.0,1.0,180.0
-70,-63,-74,210.0,1.5,180.0
-70,-76,-72,210.0,2.0,180.0
-84,-70,-67,210.0,2.5,180.0
-71,-68,-77,210.0,3.0,180.0
-75,-77,-78,210.0,3.5,180.0
-72,-70,-75,210.0,4.0,180.0
-88,-68,-76,210.0,4.5,180.0
-79,-62,-76,240.0,.5,0.0
-78,-58,-72,240.0,1.0,0.0
-79,-58,-68,240.0,1.5,0.0
-86,-58,-73,240.0,2.0,0.0
-90,-60,-75,240.0,2.5,0.0
-70,-68,-78,240.0,.5,180.0
-77,-72,-76,240.0,1.0,180.0
-70,-74,-70,240.0,1.5,180.0
-86,-69,-69,240.0,2.0,180.0
-75,-67,-72,240.0,2.5,180.0
-85,-59,-76,270.0,.5,0.0
-83,-61,-72,270.0,1.0,0.0
-83,0,-71,270.0,1.5,0.0
-77,-63,-73,270.0,1.5,0.0
-76,-67,-73,270.0,2.0,0.0
-70,-73,-73,270.0,2.0,180.0
-70,-74,-81,270.0,0.5,180.0
-66,-68,-81,270.0,1.0,180.0
-77,-74,-76,270.0,1.5,180.0
-72,-68,-74,270.0,2.0,180.0
-83,-58,-83,300.0,.5,0.0
-86,-73,-86,300.0,1.0,0.0
-83,-67,-84,300.0,1.5,0.0
-71,-66,-74,300.0,2.0,0.0
-68,-65,-70,300.0,.5,180.0
-68,-70,-86,300.0,1.0,180.0
-79,-72,0,300.0,1.5,180.0
-72,-69,-79,300.0,2.0,180.0
-81,-66,-70,330.0,0.5,0.0
-90,-61,-78,330.0,0.5,0.0
-84,-63,-73,330.0,1.0,0.0
-82,-77,-66,330.0,1.5,0.0
-81,-85,-76,330.0,2.0,0.0
-70,-72,-72,330.0,2.5,0.0
-72,-76,-70,330.0,3.0,0.0
-71,-76,-71,330.0,3.5,0.0
